Person,Work,Work (Drepung),No of folios,No of folios (Drepung),TibSchol Ref #,Drepung Cat #,BDRC #,Author,Author (Drepung),Scribe,Script (Drepung),Place,Topic,Topic (Drepung),Topic signature),Bundle (Drepung),Bundle signature,Folio size,Notes
Mchims nam mkha’ grags ,skyes rab rgyud kyi dka' 'grel,skyes rab rgyud kyi dka' 'grel,91,91,2_049_01,19083,,Mchims nam mkha’ grags ,dGe slong nam mkha' grags,,bru tsha,no place,Birth life stories,la,la,432,432,43.5 x 6.5,Another version: 19095
Mchims nam mkha’ grags ,byang chung sems 'grel gyi bsdus don,byang chub sems 'grel gyi bsdus don,3,3,,19096,,Mchims nam mkha’ grags ,dGe slong nam mkha' grags,,dpe tshugs,no place,,la,la,435,432,42 x 6.5,Another version: 19084
Mchims nam mkha’ grags ,byang chung sems 'grel gyi bsdus don,byang chub sems 'grel gyi bsdus don,3,3,2_049_02,19084,,Mchims nam mkha’ grags ,dGe slong nam mkha' grags,,bru tsha,no place,,la,la,432,432,43 x 6.5,Another version: 19096
Mchims nam mkha’ grags ,mngon pa mdzod kyi bsdus don,Chos mngon pa mdzod kyi bsdus don,33,32,2_049_03,16132,,Mchims nam mkha’ grags ,Mchims nam mkha’ grags ,,bru tsha,no place,Abhidharma,dza,dza,52,,42.5 x 6.7,Same as 3_086_04 (same Drepung Cat#)
Grags pa seng ge,dbu ma 'jug pa'i dka' gnad,dBu ma 'jug pa'i dka' gnad grags pa seng ges brjed byang du mdzad pa,202,102,2_049_04,19360,,grags pa seng ge,Grags pa seng ges brje[d] byang du mdzad pa,,bru tsha,dpal snar thang gi gtsug lag khang,Madhyamaka,la,,518,,42.2 x 6.5,No author given on BDRC. Da missing from author's name in dkar chag (brjed instead of brje)
sKyo ston smon lam tshul khrims ,dbu ma tshig gsal gyi spyi don,dbu ma tshig gsal gyi sdud don,8,8,,15669,,sKyo ston smon lam tshul khrims ,Sh+'akya'i btsun pa smon lam tshul khrims,,bru tsha,PLACE - TEXT ONLY RELATION dben gnas snar thang gtsugn lag khang mchog,Madhyamaka,tsa,la,107,518,65 x 9,Appears to be another version of 15614
sKyo ston smon lam tshul khrims ,dbu ma tshig gsal gyi spyi don,dbu ma tshig gsal gyi spyi don,8,none given,2_050_01,15614,,sKyo ston smon lam tshul khrims ,Sh+'akya'i btsun pa smon lam tshul khrims,,dpe tshugs,PLACE - TEXT ONLY RELATION dben gnas snar thang gtsugn lag khang mchog,Madhyamaka,tsa,la,94,518,84 x 8,Another version (possibly): 15569
sKyo ston smon lam tshul khrims ,gzhi lam ‘bras gsum gyi rnam gzhag zhes pa shes phyin mngon rtogs rgyan gyi ‘grel ba,gzhi lam 'bras gsum gyi rnam gzhag,69,69,2_050_02,16041,,sKyo ston smon lam tshul khrims ,smon lam tshul khrims,Glan ston,bru tsha,sngags pa snar thang gi dben gnas,Perfection of wisdom,tsha,tsa,131,74,70 x 10,
sKyo ston smon lam tshul khrims ,Theg chen rgyud bla maʼi gdams pa,Theg chen rgyud bla maʼi gdams pa,5,5,2_050_03,19637,,sKyo ston smon lam tshul khrims ,sKyo ston smon lam tshul khrims ,SB Glan ston (PH: where is this?),bru tsha,PLACE - TEXT ONLY RELATION dben gnas snar thang gtsugn lag khang mchog,Buddha Nature,la,ma,550,627,35 x 6,Folio size + script suggests that most of the works in Drepung 19627-19648 could be part of a collected works
sKyo ston smon lam tshul khrims ,bslab btus dang spyod 'jug gi khrid,bslab bsdus dang spyod 'jug gi khrid,7,7,2_050_04,19638,,sKyo ston smon lam tshul khrims ,sKyo ston smon lam tshul khrims ,1) btsun pa chos kyi rgyal mtshan <ze'u> 2) Dam pa,bru tsha,bsngags pa'i gnas snar thang,Madhyamaka,la,ma,550,627,35 x 6,Folio size + script suggests that most of the works in Drepung 19627-19648 could be part of a collected works
sKyo ston smon lam tshul khrims ,slob dpon zhi ba lha nas brgyud pa'i byang chub kyi sems sbyong ba,slob dpon zhi ba'i lha nas brgyud pa'i byang chub kyi sems sbyang pa,6,6,2_050_05,19639,,sKyo ston smon lam tshul khrims ,sKyo ston smon lam tshul khrims ,1) btsun pa chos kyi rgyal mtshan. 2) btsun pa ze ston chos kyi rgyal mtshan,bru tsha,PLACE - TEXT ONLY RELATION snar thang,Madhyamaka,la,ma,550,627,35 x 6,Folio size + script suggests that most of the works in Drepung 19627-19648 could be part of a collected works
sKyo ston smon lam tshul khrims ,Daʼ ka ye shes kyi ʼchi kha maʼi man ngag,daʼ ka ye shes kyi ʼchi kha maʼi man ngag,2,2,2_050_06,19642,,sKyo ston smon lam tshul khrims ,sKyo ston smon lam tshul khrims ,1) btsun pa ze'u; 2) dam pa?,bru tsha,dam pa bsngags pa'i snar thang gi dben gnas,,la,ma,550,627,35 x 6,Folio size + script suggests that most of the works in Drepung 19627-19648 could be part of a collected works
sKyo ston smon lam tshul khrims ,Theg chen dbu maʼi gdams pa,Theg chen dbu maʼi gdams pa,3,3,2_050_07,19643,,sKyo ston smon lam tshul khrims ,sKyo ston smon lam tshul khrims ,1) btun pa chos rgyal; 2) ze'u,bru tsha,no place,Madhyamaka,la,ma,550,627,35 x 6,Folio size + script suggests that most of the works in Drepung 19627-19648 could be part of a collected works
sKyo ston smon lam tshul khrims ,rTen ʼbrel lag len du dril ba mdor bsdus,rTen ʼbrel lag len du dril ba,21,21,2_050_08,19647,,sKyo ston smon lam tshul khrims ,sKyo ston smon lam tshul khrims ,ze'u,bru tsha,snar thang,Dependent arising,la,ma,550,627,35 x 6,Folio size + script suggests that most of the works in Drepung 19627-19648 could be part of a collected works
sKyo ston smon lam tshul khrims ,Phyogs bcu mun pa rnam sel,Phyogs bcu mun pa rnam sel,3,3,2_050_09,19648,,sKyo ston smon lam tshul khrims ,sKyo ston smon lam tshul khrims ,,bru tsha,no place,sutra,la,ma,550,627,35 x 6,Folio size + script suggests that most of the works in Drepung 19627-19648 could be part of a collected works
sKyo ston smon lam tshul khrims ,Zhi ba lhaʼi sems bskyed. Colophon: slob dpon zhi ba lha'i lugs kyi sems bskyed kyi cho ga mdor bsdus pa,Zhi ba lha'i sems bskyed,4,4,2_050_10,19644,,sKyo ston smon lam tshul khrims ,sKyo ston smon lam tshul khrims ,1) btsun pa smon laM tshul khrims; 2) btsun pa ze'u,bru tsha,no place,Ritual,la,ma,550,627,35 x 6,Folio size + script suggests that most of the works in Drepung 19627-19648 could be part of a collected works
sKyo ston smon lam tshul khrims ,Nyin zhag reʼi bsags sbyangs kyi rim pa,Nyin zhag reʼi bsags sbyangs kyi rim pa,2,2,2_050_11,19373,,sKyo ston smon lam tshul khrims ,Sh+'akya'i btsun pa smon lam tshul khrims,,dpe tshugs,,,la,la,518,550,none given,
sKyo ston smon lam tshul khrims ,mKhan rin po che snar thang brgyad par byon pa'i gsan yig,bla ma snar thang brgyad par byon pa'i gsan yig,14,15,2_050_12,12477,,sKyo ston smon lam tshul khrims ,btsun pa chos kyi rgyal mtshan,,bru tsha,bsngags pa'i gnas mchog snar thang,Record of teaching,ma,la,926,518,34.5 x 6.5,
sKyo ston smon lam tshul khrims ,sKyes bu gsum gyi lam rim gyi khrid,sKyes bu gsum gyi lam rim gyi khrid,6,6,2_050_13,19630,,sKyo ston smon lam tshul khrims ,sKyo ston smon lam tshul khrims ,snar thang pa,bru tsha,bsngags pa snar thang gyi dben gnas,,la,ma,550,627,35 x 6,Folio size + script suggests that most of the works in Drepung 19627-19648 could be part of a collected works
sKyo ston smon lam tshul khrims ,ye shes kyi gzhag sa; ye shes kyi 'jog sa ma bde ba'i gnad ci yin tshig tu zhus pa zin ris,ye shes kyi gzhag sa,6,5,2_050_14,19632,,sKyo ston smon lam tshul khrims ,sKyo ston smon lam tshul khrims ,1) snar thang pa 2) dam pa,bru tsha,bsngags pa'i dben gnas snar thang,,la,ma,550,627,36 x 6,Folio size + script suggests that most of the works in Drepung 19627-19648 could be part of a collected works
sKyo ston smon lam tshul khrims ,mDo sde rgyan gyi khrid (1st f)/ mdo sde rgyan gyi man ngag blo’i padmo‘i kha ’byed (colophon),mdo sde rgyan gyi khrid,3,3,2_050_15,19633,,sKyo ston smon lam tshul khrims ,sKyo ston smon lam tshul khrims ,1) bla ma snar thang pa <smon lam tshul khrims>; 2) dam pa,dpe tshugs,no place,Perfection of wisdom,la,ma,550,627,36 x 6,Folio size + script suggests that most of the works in Drepung 19627-19648 could be part of a collected works
sKyo ston smon lam tshul khrims ,Chos nyid kyi khrid,Chos nyid kyi khrid,3,3,2_050_16,19635,,sKyo ston smon lam tshul khrims ,sKyo ston smon lam tshul khrims ,1) <chos kyi rgyal mtshan> ; 2) dam pa,bru tsha,snar thang,,la,ma,550,627,35 x 6,Folio size + script suggests that most of the works in Drepung 19627-19648 could be part of a collected works
sKyo ston smon lam tshul khrims ,snar thang gdan sa bdun pa’i rnam thar ,snar thang gi gdan sa pa bdun pa'i rnam thar rin chen gter mdzod ,17,17,2_050_17,17148,,sKyo ston Smon lam tshul khrims ,Sh+'akya'i btsun pa smon lam tshul khrims,,bru tsha,snag thang,Biography,ra,la,64,550,34 x 7,
Mchims Nam mkha’ grags ,Chu mig pa chen po'i rnam thar,Chu mig pa chen po'i rnam thar,4,4,2_050_18,17143,,Mchims Nam mkha’ grags ,unnamed,,bru tsha,snag thang,Biography,ra ,,64,,none given,
Mchims Nam mkha’ grags ,Sangs rgyas bsgoM pa'i rnaM thar,Sangs rgyas sgom pa'i rnam thar,8,8,2_050_19,17140,,Mchims Nam mkha’ grags ,sNar thang sangs rgyas sgom pa'i dngos slob,,bru tsha,no place,Biography,ra,ra,64,64,34.5 x 8.2,
Mchims Nam mkha’ grags ,zhang ston chos bla’i rnam thar,Zhang ston chos kyi bla ma'i rnam thar,10,10,2_050_20,17141,,Mchims Nam mkha’ grags ,unnamed,,bru tsha,PLACE - TEXT ONLY RELATION sNar thang gyi dben gnas,Biography,ra,ra,64,64,none given,
sKyo ston Smon lam tshul khrims ,sDe snod bcud bsdus kyi man ngag,sDe snod bcud bsdus man ngag snying po,5,5,2_050_21,19627,,sKyo ston Smon lam tshul khrims ,sKyo ston Smon lam tshul khrims ,,bru tsha,(place in annotations. Edited and written in) snar thang,,la,ra,550,64,35 x 6,Folio size + script suggests that most of the works in Drepung 19627-19648 could be part of a collected works
sKyo ston smon lam tshul khrims ,Shes rab kyi pha rol phyin paʼi man ngag,mngon rtogs rgyan gyi khrid,6,6,2_050_22,19634,,sKyo ston smon lam tshul khrims ,sKyo ston Smon lam tshul khrims ,1) snga thang pa brgya par byon pa; 2) btsun pa <ze'u> chos kyi rgyal mtshan; =?3) btsun pa chos kyi rgyal mtshan,bru tsha,,,la,ra,550,64,35 x 6,Folio size + script suggests that most of the works in Drepung 19627-19648 could be part of a collected works
sKyo ston smon lam tshul khrims ,Jo bo rjeʼi dbu maʼi man ngag gi bshad pa,,2,,2_050_23,,,sKyo ston smon lam tshul khrims ,,,,no place,,,la,,550,,
sKyo ston smon lam tshul khrims ,ʼod gsal snying poʼi don,ʼod gsal snying poʼi don,3,3,2_050_24,19631,,sKyo ston smon lam tshul khrims ,sKyo ston Smon lam tshul khrims ,,bru tsha,no place,,la,ra,550,64,36 x 6,Folio size + script suggests that most of the works in Drepung 19627-19648 could be part of a collected works
bCom ldan rigs pa’i ral gri,bcom ldan rig ral gyi bstan bcos rtsom pa'i dkar chag,Slob dpon bcom ldan ral gri nyid kyis bstan bcos brtsoms pa'i dkar chag,8,8,2_051_01,19509,,bCom ldan rigs pa’i ral gri,bCom ldan ral gri,,dpe tshugs,mdangs can gyi dgon pa,Bibliography,la,la,541,550,35 x 7.6,A 8 folio typeset edition is found in his gsung 'bum (W00EGS1017426)
bCom ldan rigs pa’i ral gri,bstan pa rgyas pa rgyan gyi nyi 'od,bstan pa rgyas pa rgyan gyi nyi 'od,53,53,2_051_02,17182,,bCom ldan rigs pa’i ral gri,dGe slong bcom ldan ral gri,,dpe tshugs,no place,Bibliography,ra,la,68,541,36.5 x 8.5,A 81 folio typset edition is found in his gsung 'bum (W00EGS1017426)
bCom ldan rigs pa’i ral gri,bslab gsum rgyan gyi me tog,bslab pa gsum rgyan gyi me tog,78,78,2_051_03,19505,,bCom ldan rigs pa’i ral gri,Sh+'akya'i dge slong bcom ldan ral gri,,bru tsha,no place,Vows,la,,541,,33 x 6.5,"A 91 folio typeset edition is found in bCom ldan rigs pa'i ral gri's gsung 'bum (W00EGS1017426)
Anther version (possibly): 18555"
bCom ldan rigs pa’i ral gri,bslab gsum rgyan gyi me tog,bslab pa gsum rgyan gyi me tog,78,23,,18555,,bCom ldan rigs pa’i ral gri,dGe slong bcom ldan ral gri,,dpe tshugs,no place,Vows,la,,281,,66 x 9.5,Seems to be another version of: 19505
bCom ldan rigs pa’i ral gri,bsnyen gnas kyi cho ga,bsnyen gnas yan lag brgyad pa'i cho ga rgyan gyi me tog,4,4,2_051_04,19261,,bCom ldan rigs pa’i ral gri,Mang du thos pa'i dge slong bcom ldan ral gri,,dpe tshugs,,ritual,la,la,501,501,42.5 x 6.5,A 4 folio typeset edition is found in bCom ldan rigs pa'i ral gri's gsung 'bum (W00EGS1017426)
bCom ldan rigs pa’i ral gri,sems bskyed kyi cho ga; Incipit: byang chub tu sems bskyed pa'i cho ga rgyan gyi me tog,Sems bskyed rgyan gyi me tog,9,9,2_051_05,19507,,bCom ldan rigs pa’i ral gri,Mang du thos pa'i btsun pa ral gri,,dpe tshugs,,ritual,la,la,541,54,33 x 6.4,A 14 folio typeset edition is found in his gsung 'bum (W00EGS1017426)
bCom ldan rigs pa’i ral gri,skyes rabs rgyan gyi me tog. Incipit: skyes pa'i rabs rgyan gyi me tog,Sangs rgyas kyi skyes rabs,121,121,2_051_06,19563,,bCom ldan rigs pa’i ral gri,sKyes rabs rgyan gyi me tog (?),nam mkha' bzang po,bru tsha,,Birth life stories,la,la,545,321,35.8 x 8.2,A 210 folio typeset edition is found in his gsung 'bum (W00EGS1017426)
bCom ldan rigs pa’i ral gri,bde ba can gyi bstod pa 'dzam bu'i sil snyan dang / dpal ldan mar mdzad ye shes la bstod pa,bDe ba can gyi me tog 'dzam bu'i sil snyan ,6,6,2_052_01,18894,,bCom ldan rigs pa’i ral gri,Yul dbus btsun pa rig pa'i ral gris,,dpe tshugs,no place,eulogy,la,la,371,371,46 x 7,Appears to be a version of 19271?
bCom ldan rigs pa’i ral gri,brtson ldan gyi thos bsam pa rnams la bstod pa,Sangs rgyas mi 'khrug pa'i zhing mkhams kyi bstod pa thar pa'i sil snyan ,4,4,2_052_02,19256,,bCom ldan rigs pa’i ral gri,Mang du thos pa'i dge slong bcom ldan ral gri,,dpe tshugs,no place,eulogy,la,la,501,501,33.5 x 7.5,A 3 folio typeset edition is found in his gsung 'bum (W00EGS1017426)
bCom ldan rigs pa’i ral gri,rgyal yum yi ge gcig ma,bCom ldan 'das ma shes rab kyi pha rol tu phyin pa'i rgyan gyi me tog,9,9,2_052_03,19267,,bCom ldan rigs pa’i ral gri,Mang du thos pa'i dge slong bcom ldan ral gri,,dpe tshugs,dpal snar thang gi dgon pa,Perfection of wisdom,la,la,501,501,43 x 6.5,A 9 folio typset edition is found in his gsung 'bum (W00EGS1017426)
bCom ldan rigs pa’i ral gri,stong phrag brgya pa rgyan gyi me tog,Shes rab kyi pha rol tu phyin pa'i bsdud don,14,14,2_052_04,19707,,bCom ldan rigs pa’i ral gri,dGe slong bcom ldan ral gris,,tshugs chung,no place,Perfection of wisdom,la,tsha,555,555,35.5 x 7.6,
bCom ldan rigs pa’i ral gri,phar phyin rgyan gyi me tog; shes rab kyi pha rol du phyin pa'i 'grel pa bshad mngon par rtogs pa'i rgyan gyi me tog. Incipit (1b1): shes rab kyi pha rol du phyin pa'i 'grel bshad mngon par rtogs pa'i rgyan gyi me tog,Phar phyin rgyan gyi me tog,188,189,2_052_05,15913,,bCom ldan rigs pa’i ral gri,bCom ldan rig ral,-,bru tsha,,Perfection of wisdom,tsha,tsha,91,91,69.5x 10 ,
bCom ldan rigs pa’i ral gri,dbu ma rgyan gyi bsdus don,dBu ma rgyan gyi bsdus don,1,1,2_052_06,19281,,bCom ldan rigs pa’i ral gri,Mang du thos pa'i dge slong bcom ldan ral gri,-,dpe tshugs,no place,Madhyamaka,la,la,501,501,34.5 x 6.5,A 1 folio modern typeset edition is found in his gsung 'bum (W00EGS1017426)
bCom ldan rigs pa’i ral gri,rgyan bdun bshad pa rgyan gyi me tog,rGyan bdun bshad pa,4,4,2_052_07,19269,,bCom ldan rigs pa’i ral gri,Mang du thos pa'i dge slong bcom ldan ral gri,-,dpe tshugs,,Seven ornaments,la,la,501,501,43 x 6.5,A 8 folio modern typeset edition is found in his gsung 'bum (W00EGS1017426)
bCom ldan rigs pa’i ral gri,grub mtha' rgyan gyi me tog,grub mtha' rgyan gyi me tog,73,73,2_053_01,19508,,bCom ldan rigs pa’i ral gri,Mang du thos pa'i dge slong bcom ldan ral gri,,bru tsha,dpal ldan thang chen,Doxography,la,la,541,541,34.5 x 6.6,A 153 folio modern typeset edition is found in his gsung 'bum (W00EGS1017426)
bCom ldan rigs pa’i ral gri,byams pa dang 'brel chos kyi byung tshul,Byams pa dang 'brel chos kyi byung tshul,6,6,2_053_02,19280,,bCom ldan rigs pa’i ral gri,Mang du thos pa'i dge slong bcom ldan ral gri,,dpe tshugs,,,la,la,501,501,34.7 x 6.5,A 6 folio modern typeset edition is found in his gsung 'bum (W00EGS1017426)
bCom ldan rigs pa’i ral gri,chos mngon pa mdzod kyi bsdus don,chos mngon pa mdzod kyi bsdus don,5,5,2_053_03,16130,,bCom ldan rigs pa’i ral gri,bCom ldan ral gri,,bru tsha,,Abhidharma,dza,dza,52,52,42 x 6.5,A 5 folio modern typeset edition is found in his gsung 'bum (W00EGS1017426)
bCom ldan rigs pa’i ral gri,bskal pa rgyan gyi me tog,bskal pa rgyan gyi me tog,6,6,2_053_04,19506,,bCom ldan rigs pa’i ral gri,Mang du thos pa'i dge slong bcom ldan ral gri,,bru tsha,,cosmology,la,la,541,501,33 x 6.4,A 13 folio modern typeset edition is found in his gsung 'bum (W00EGS1017426)
bCom ldan rigs pa’i ral gri,'khor 'das rgyan gyi me tog,Khor 'das rgyan gyi me tog,6,6,2_053_05,19268,,bCom ldan rigs pa’i ral gri,Mang du thos pa'i dge slong bcom ldan ral gri,,dpe tshugs,,Nirvāṇa/saṃsāra,la,la,501,501,43 x 6.5,A 3 folio modern typeset edition is found in his gsung 'bum (W00EGS1017426)
bCom ldan rigs pa’i ral gri,bden bzhi rgyan gyi me tog,bDen bzhi rgyan gyi me tog,50,49,2_053_06,19276,,bCom ldan rigs pa’i ral gri,Mang du thos pa'i dge slong bcom ldan ral gri,,dpe tshugs,,four truths,la,la,501,501,43 x 6.5,"A 56 folio modern typeset edition is found in his gsung 'bum (W00EGS1017426)
Another version in Drepung catalogue = 18900"
bCom ldan rigs pa’i ral gri,bden bzhi rgyan gyi me tog,bDen bzhi rgyan gyi me tog zhabs ma tshang ba bcom ldan rig ral gyis mdzad pa,50,8,,18900,,bCom ldan rigs pa’i ral gri,bCom ldan rigs pa’i ral gri,,dpe tshugs,,four truths,la,la,372,501,45 x 7,Another version in Drepung catalogue = 19276
bCom ldan rigs pa’i ral gri,rdo rje gdan pa rgyan gyi me tog,rDo rje'i gdan rnam par bshad pa rgyan gyi me tog,13,13,2_053_07,17195,,bCom ldan rigs pa’i ral gri,Mang du thos pa'i dge slong bcom ldan ral gri,,dpe tshugs,,,ra,ra,75,75,49 x 8,
bCom ldan rigs pa’i ral gri,bsngo ba rgyan gyi me tog,bsngo ba rgyan gyi me tog,8,8,2_053_08,18893,,bCom ldan rigs pa’i ral gri,Sh+'akya'i dge slong bcom ldan ral gri,,dpe tshugs,no place,merit,la,la,371,371,46 x 7,"version of 19527?
A 12 folio typeset edition is found in his gsung 'bum (W00EGS1017426)"
bCom ldan rigs pa’i ral gri,sgra'i bstan bcos smra ba rgyan gyi me tog,sgra'i bstan bcos sgra rgyan gyi me tog,45,45,2_053_09,10492,,bCom ldan rigs pa’i ral gri,bCom ldan rig ral,,bru tsha,no place,grammar/orthography,ma,ma,599,599,42.5 x 6.5,"Drepung Cat #10490-10499 all taken from same collection (based on size)
A 46 folio typeset edition is found in his gsung 'bum (W00EGS1017426)"
bCom ldan rigs pa’i ral gri,tshad ma kun btus rgyan gyi me tog. Incipit: tshad ma kun las btus pa brgyan gyi me tog (1b1),Tshad ma kun las btus pa rgyan gyi me tog,42,42,2_053_10,16395,,bCom ldan rigs pa’i ral gri,Sh+'akya'i dge slong bcom ldan ral gri,,dpe tshugs,rtsang rung (ru) lhag gi (or lhig?) snying po dpal me tog mdangs ldan (var: can) gyi dgon pa[r sbyxar ba legs par rdzogs so],Epistemology,zha,zha,26,21,61 x 11,
bCom ldan rigs pa’i ral gri,Tshad ma rnam par nges pa’i tīkka rgyan gyi me tog. Incipit:་tshad ma rnam par nges pa'i rgyan gyi me tog,Tshad ma rnam par nges pa’i Ti k+ka rgyan gyi me tog,158,158,2_054_01,16373,,bCom ldan rigs pa’i ral gri,bCom ldan rigs pa’i ral gri,,bru tsha,no place,Epistemology,zha,zha,21,44,68.5 x 10,Another version in Drepung catalogue = 16370
bCom ldan rigs pa’i ral gri,Tshad ma rnam par nges pa’i tīkka rgyan gyi me tog. Incipit:་tshad ma rnam par nges pa'i rgyan gyi me tog,Tshad ma rnam par nges pa’i rgyan gyi me tog,158,267,,16370,,bCom ldan rigs pa’i ral gri,bCom ldan rig ral,,bris ma dbu can,no place,Epistemology,zha,zha,19,44,48 x 8,Another version in Drepung catalogue = 16373
bCom ldan rigs pa’i ral gri,Tshad ma’i bstan bcos sde bdun rgyan gyi me tog,sDe bdun rgyan gyi me tog ,98,98,2_054_02,16461,,bCom ldan rigs pa’i ral gri,bCom ldan rigs pa’i ral gri,,dpe tshugs,no place,Epistemology,zha,zha,44,44,34 x 6,"A 141 folio typeset edition is found in his gsung 'bum (W00EGS1017426); 
A 95 folio drutsa mss (MW00KG03838) open access; 
Published as book (MW11847) open access"
bCom ldan rigs pa’i ral gri,’Brel ba brtag pa’i rab tu ’byed pa mchan dang sa bcad. Incipit: 'brel pa brtag pa'i rab tu byed pa (1b1-2). First work: <'brel pa brtagb pa'i chan bu>. Second work: 'brel pa brag pa'i don legs par bsdus pa,’Brel ba brtag pa’i rab tu ’byed pa,4,4,2_055_01,19282,,bCom ldan rigs pa’i ral gri,sLob dpon mkhas pa chen po chos kyi grags pa,,dpe tshugs,no place,Epistemology,la,la,501,50{1},none given,A 6 folio typeset edition is found in his gsung 'bum (W00EGS1017426)
bCom ldan rigs pa’i ral gri,rtsod pa rig pa'i bsdus don,rtsod pa rig pa'i bsdus don,7,7,2_055_02,10493 prima ,,bCom ldan rigs pa’i ral gri,bCom ldan rig ral,,bru tsha,no place,Epistemology,ma,ma,599,599,42.5 x 6.6,Drepung Cat #10490-10499 all taken from same collection (based on size)
bCom ldan rigs pa’i ral gri,rtsod rigs rgyan gyi me tog,rtsod rig rgyan gyi me tog,73,73,2_055_03,10496 prima,,bCom ldan rigs pa’i ral gri,bCom ldan rig ral,,bru tsha,,Epistemology,ma,ma,599,599,42.5 x 6.9,"Drepung Cat #10490-10499 all taken from same collection (based on size);
A 75 folio typeset edition is found in his gsung 'bum (W00EGS1017426)"
bCom ldan rigs pa’i ral gri,sku gzugs kyi mtshan nyid rgyan gyi me tog,sku gzugs kyi mtshan nyid rgyan gyi me tog,5,5,2_055_04,16910,,bCom ldan rigs pa’i ral gri,bCom ldan rigs pa’i ral gri,,dpe tshugs,no place,,ya,ya,2,2,46.2 x 6.4,A 4 folio typeset edition is found in his gsung 'bum (W00EGS1017426)
Tsa mi lo tsA ba,bya rog gi legs nyes brtag thabs kyi man ngag,,2,,2_055_05,,,Tsa mi lo tsA ba,,,,,,,,,,,Text not separated from above in KDSB
bCom ldan rigs pa’i ral gri,gso ba rig pa rgyan gyi me tog,gso ba rig pa rgyan gyi me tog,74,74,2_055_06,10495 prima ,,bCom ldan rigs pa’i ral gri,bCom ldan rig ral,,bru tsha,no place,medicine,ma,ma,599,599,42.5 x 6.8,"Drepung Cat #10490-10499 all taken from same collection (based on size);
A 69 folio typeset edition is found in his gsung 'bum (W00EGS1017426)"
bCom ldan rigs pa’i ral gri,theg chen rgyu 'bras rgyan gyi me tog,Theg pa chen po'i rgyu 'bras kyi gnad,4,4,2_055_07,19260,,bCom ldan rigs pa’i ral gri,Mang du thos pa'i dge slong bcom ldan ral gri,,dpe tshugs,,Great vehicle,la,la,501,501,42.2 x 6.4,Another version in Drepung catalogue = 13639
bCom ldan rigs pa’i ral gri,theg chen rgyu 'bras rgyan gyi me tog,Theg chen gyi rgyu 'bras rgyan gyi me tog,4,3,,13639,,bCom ldan rigs pa’i ral gri,bCom ldan rigs pa’i ral gri,,bris ma dbu can,,Great vehicle,ma,la,1025,501,42 x 6,Another version in Drepung catalogue = 19260
bCom ldan rigs pa’i ral gri,ye shes snying po kun las btus pa rgyan gyi me tog,Ye shes snying po kun las btus pa rgyan gyi me tog,16,16,2_055_08,19277,,bCom ldan rigs pa’i ral gri,Mang du thos pa'i dge slong bcom ldan ral gri,,dpe tshugs,,Madhyamaka,la,la,501,501,34.5 x 6.5,A 18 folio typeset edition is found in his gsung 'bum (W00EGS1017426)
bCom ldan rigs pa’i ral gri,ngan song sbyong rgyud rgyan gyi me tog,ngan song sbyong rgyud rgyan gyi me tog,20,22,2_055_09,10494 prima,,bCom ldan rigs pa’i ral gri,bCom ldan rig ral,,bru tsha,,tantra,ma,ma,599,599,42.5 x 6.7,"Drepung Cat #10490-10499 all taken from same collection (based on size); 
A 23 folio typeset edition is found in his gsung 'bum (W00EGS1017426)
"
bCom ldan rigs pa’i ral gri,jo btsun seng ge sgra'i man ngag,rje btsun seng ge sgra'i man ngag,1,1,2_055_10,12485,,bCom ldan rigs pa’i ral gri,bCom ldan rig ral,btsun pa zi'u (zli'u?) em. Ze'u?,bru tsha,,,ma,ma,926,926,34 x 6.5,Another version in Drepung karchag = 12436
bCom ldan rigs pa’i ral gri,jo btsun seng ge sgra'i man ngag,rje btsun seng ge sgra'i man ngag,1,none given,,12436,,bCom ldan rigs pa’i ral gri,bCom ldan ral gris,btsun pa zi'u (zli'u?) em. Ze'u?,dpe tshugs,,,ma,ma,926,926,none given,Another version in Drepung karchag = 12485
bCom ldan rigs pa’i ral gri,rnam snang mngon par byang chub pa'i sku gsum gyi dkyil 'khor bsgom thabs,rnam snang mngon par byang chub pa'i sku gsum gyi dkyil 'khor bsgom thabs,1,1,2_055_11,12486,,bCom ldan rigs pa’i ral gri,bCom ldan rig ral,ze'u grags shes,bru tsha,,meditation,ma,ma,926,926,34 x 6.5,"Another version in Drepung karchag = 12435
"
bCom ldan rigs pa’i ral gri,rnam snang mngon par byang chub pa'i sku gsum gyi dkyil 'khor bsgom thabs,rnam par snang mdzad mngon par byang chub pa'i sku gsum gyi dkyil 'khor bsgom tshul,1,1,,12435,,bCom ldan rigs pa’i ral gri,bCom ldan ral gris,ze'u grags shes,dpe tshugs,,meditation,ma,ma,926,926,34 x 7,Another version in Drepung karchag = 12486
bCom ldan rigs pa’i ral gri,sangs rgyas dang sangs rgyas tshul rnam par dbye ba rgyan gyi me tog,Sangs rgyas dang sangs rgyas tshul rnam par dbye ba rgyan gyi me tog,4,4,2_055_12,19275,,bCom ldan rigs pa’i ral gri,Mang du thos pa'i dge slong bcom ldan ral gri,,dpe tshugs,,Buddha,la,la,501,501,43 x 6.5,
